transaction_id,region,pricing_amount,consumer_rating,regional_demand_index,discount_percentage
TXN_000000,Chennai,296.7109806473193,3.302373714560328,68.82409385037356,15
TXN_000001,Bangalore,50.887926903584294,1.6458313362569603,60.74289724835996,5
TXN_000002,Hyderabad,263.41138658731904,2.8869593500737563,63.546727221440946,10
TXN_000003,Bangalore,111.92512197236825,3.2138871048393995,63.468264607264835,0
TXN_000004,Bangalore,118.94782963306888,3.281147754925562,52.43660639064663,15
TXN_000005,Delhi,41.4905085346854,1.8404287716494072,38.90333770275363,15
TXN_000006,Hyderabad,32.605346310998506,3.969085569009147,45.369770066817665,25
TXN_000007,Hyderabad,215.25951521771586,1.1007963792842785,58.74914424602358,5
TXN_000008,Hyderabad,122.9141621895275,2.4193274221726506,50.55832011724338,25
TXN_000009,Bangalore,106.13157562116969,4.120850594142534,50.58604713132558,15
TXN_000010,Chennai,216.1270401972557,3.2555716842216094,81.59101254823435,15
TXN_000011,Hyderabad,237.55320484510779,2.044649730043441,70.30673755991847,25
TXN_000012,Bangalore,45.958164614059925,3.779812477372191,56.97508840908032,15
TXN_000013,Delhi,161.32790193752706,3.2695637766242935,68.06441934786531,10
TXN_000014,Chennai,41.81527992918121,4.184974437825549,54.95677673290919,0
TXN_000015,Delhi,228.77148317410243,3.9401007447592935,61.32868121023796,0
TXN_000016,Chennai,180.4841150923916,3.4404316881449386,65.299543781027,0
TXN_000017,Bangalore,490.64491789404866,2.952710701243256,54.988728386737456,10
TXN_000018,Mumbai,30.717636126279842,1.5327285026700936,51.77699342955485,15
TXN_000019,Chennai,28.81205402372562,2.045332071541535,74.68718182162205,25
TXN_000020,Delhi,69.7319440392296,2.676397891668341,67.36935560637728,5
TXN_000021,Bangalore,65.51190970345748,3.3971971480255547,32.94466946048739,15
TXN_000022,Chennai,62.54928444435909,3.0548314208612193,51.982368839620676,10
TXN_000023,Mumbai,375.0758711324464,2.152738103838118,50.624730003667274,10
TXN_000024,Mumbai,63.061578284541,1.0258574311588422,52.54634293425123,0
TXN_000025,Hyderabad,67.60777634812922,2.9849568876032557,70.34882746510674,15
TXN_000026,Hyderabad,233.69183803957415,2.1425039542489723,60.2304716160443,0
TXN_000027,Delhi,109.60461482975856,3.9384332028421403,43.32444394973345,5
TXN_000028,Chennai,244.89295973876895,1.095785061081934,55.40142195649661,0
TXN_000029,Chennai,30.140065814288775,3.3393112452231635,66.50085177139428,5
TXN_000030,Hyderabad,120.28902381556051,4.765896950024262,57.36425981359495,10
TXN_000031,Chennai,25.128728740692473,1.697637068445998,52.26388858603811,0
TXN_000032,Chennai,29.705292726594788,2.8865979630023815,63.97463134486234,0
TXN_000033,Mumbai,375.3687677218226,1.3656879672685527,79.41830987326892,25
TXN_000034,Hyderabad,42.49186985696676,3.5027276490454105,65.53709799550222,10
TXN_000035,Bangalore,134.02794215933147,3.2021267223849024,75.61129815638039,25
TXN_000036,Hyderabad,99.42371328778421,2.6294620968513294,53.068629385621165,5
